"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_03896"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	"Curtobacterium citreum"	"ref_mOTU_v25_03896"
"ref_mOTU_v25_03897"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Curtobacterium"	"Curtobacterium luteum"	"ref_mOTU_v25_03897"
"ref_mOTU_v25_03898"	"Bacteria"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"	"Mycoplasma putrefaciens"	"ref_mOTU_v25_03898"
"ref_mOTU_v25_03899"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. [Caulobacter sp. OV484/Caulobacter sp. Root342/Caulobacter sp. Root343]"	"ref_mOTU_v25_03899"
"ref_mOTU_v25_03900"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter vibrioides"	"ref_mOTU_v25_03900"
"ref_mOTU_v25_03901"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter vibrioides"	"ref_mOTU_v25_03901"
"ref_mOTU_v25_03902"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter segnis"	"ref_mOTU_v25_03902"
"ref_mOTU_v25_03903"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Borreliaceae"	"Borrelia"	"Borrelia miyamotoi"	"ref_mOTU_v25_03903"
"ref_mOTU_v25_03904"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Afipia"	"Afipia sp. [Afipia sp. OHSU_II-uncloned/Afipia sp. OHSU_II-C1/Afipia sp. OHSU_II-C2/Afipia sp. OHSU_I-uncloned/Afipia sp. OHSU_I-C4/Afipia sp. OHSU_I-C6]"	"ref_mOTU_v25_03904"
"ref_mOTU_v25_03905"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Afipia"	"Afipia broomeae [Afipia sp. NBIMC_P1-C1/Afipia sp. NBIMC_P1-C2/Afipia sp. NBIMC_P1-C3/Afipia broomeae]"	"ref_mOTU_v25_03905"
"ref_mOTU_v25_03906"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"	"Geobacillus thermodenitrificans [Geobacillus sp. PA-3/Geobacillus sp. 47C-IIb/Geobacillus thermodenitrificans]"	"ref_mOTU_v25_03906"
"ref_mOTU_v25_03907"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"	"Geobacillus subterraneus [Geobacillus subterraneus/Geobacillus sp. 46C-IIa]"	"ref_mOTU_v25_03907"
"ref_mOTU_v25_03908"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcales fam. incertae sedis"	"Tropheryma"	"Tropheryma whipplei"	"ref_mOTU_v25_03908"
"ref_mOTU_v25_03909"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Chromobacteriaceae"	"Aquitalea"	"Aquitalea pelogenes/magnusonii"	"ref_mOTU_v25_03909"
"ref_mOTU_v25_03910"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Borreliaceae"	"Borrelia"	"Borrelia hermsii"	"ref_mOTU_v25_03910"
"ref_mOTU_v25_03911"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Borreliaceae"	"Borrelia"	"Borrelia hermsii"	"ref_mOTU_v25_03911"
"ref_mOTU_v25_03912"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus equicursoris"	"ref_mOTU_v25_03912"
"ref_mOTU_v25_03913"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus saniviri"	"ref_mOTU_v25_03913"
"ref_mOTU_v25_03914"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Ferroplasmaceae"	"Acidiplasma"	"Acidiplasma aeolicum [Acidiplasma sp. MBA-1/Acidiplasma aeolicum]"	"ref_mOTU_v25_03914"
"ref_mOTU_v25_03915"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Thalassospira"	"Thalassospira mesophila"	"ref_mOTU_v25_03915"
"ref_mOTU_v25_03916"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Thalassospira"	"Thalassospira sp. MCCC 1A01428"	"ref_mOTU_v25_03916"
"ref_mOTU_v25_03917"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	"Geobacter toluenoxydans"	"ref_mOTU_v25_03917"
"ref_mOTU_v25_03918"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	"Geobacter daltonii"	"ref_mOTU_v25_03918"
"ref_mOTU_v25_03919"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus boroniphilus [Bacillus boroniphilus/Bacillus sp. 17376]"	"ref_mOTU_v25_03919"
"ref_mOTU_v25_03920"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus selenatarsenatis"	"ref_mOTU_v25_03920"
"ref_mOTU_v25_03921"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus jeotgali"	"ref_mOTU_v25_03921"
"ref_mOTU_v25_03922"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Thermodesulfovibrio"	"Thermodesulfovibrio aggregans"	"ref_mOTU_v25_03922"
"ref_mOTU_v25_03923"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aquimarina"	"Aquimarina megaterium"	"ref_mOTU_v25_03923"
"ref_mOTU_v25_03924"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aquimarina"	"Aquimarina atlantica"	"ref_mOTU_v25_03924"
"ref_mOTU_v25_03925"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aquimarina"	"Aquimarina macrocephali"	"ref_mOTU_v25_03925"
"ref_mOTU_v25_03926"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium leprae"	"ref_mOTU_v25_03926"
"ref_mOTU_v25_03927"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Candidatus Portiera"	"Candidatus Portiera aleyrodidarum"	"ref_mOTU_v25_03927"
"ref_mOTU_v25_03928"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales fam. incertae sedis"	"Intestinimonas"	"Intestinimonas butyriciproducens [Intestinimonas butyriciproducens/uncultured Clostridium sp.]"	"ref_mOTU_v25_03928"
"ref_mOTU_v25_03929"	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus cateniformis [Coprobacillus cateniformis/Clostridia bacterium UC5.1-1E3]"	"ref_mOTU_v25_03929"
"ref_mOTU_v25_03930"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	"Veillonella denticariosi [Veillonella denticariosi/Veillonella sp. AS16]"	"ref_mOTU_v25_03930"
"ref_mOTU_v25_03931"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"Paenibacillus sp. [Paenibacillus sp. JCM 9795/Paenibacillus sp. JCM 9796]"	"ref_mOTU_v25_03931"
"ref_mOTU_v25_03932"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanosarcina"	"Methanosarcina vacuolata [Methanosarcina sp. Kolksee/Methanosarcina vacuolata]"	"ref_mOTU_v25_03932"
"ref_mOTU_v25_03933"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanosarcina"	"Methanosarcina barkeri"	"ref_mOTU_v25_03933"
"ref_mOTU_v25_03934"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanosarcina"	"Methanosarcina barkeri"	"ref_mOTU_v25_03934"
"ref_mOTU_v25_03935"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter glacincola [Psychrobacter sp. JCM 18902/Psychrobacter sp. JCM 18903/Psychrobacter sp. P11F6/Psychrobacter glacincola]"	"ref_mOTU_v25_03935"
"ref_mOTU_v25_03936"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. [Caulobacter sp. Root1455/Caulobacter sp. Root487D2Y]"	"ref_mOTU_v25_03936"
"ref_mOTU_v25_03937"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter henricii"	"ref_mOTU_v25_03937"
"ref_mOTU_v25_03938"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. UNC279MFTsu5.1"	"ref_mOTU_v25_03938"
"ref_mOTU_v25_03939"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. [Caulobacter sp. Root1472/Caulobacter sp. Root656]"	"ref_mOTU_v25_03939"
"ref_mOTU_v25_03940"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. URHA0033"	"ref_mOTU_v25_03940"
"ref_mOTU_v25_03941"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. UNC358MFTsu5.1"	"ref_mOTU_v25_03941"
"ref_mOTU_v25_03942"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. Root655"	"ref_mOTU_v25_03942"
"ref_mOTU_v25_03943"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter sp. K31"	"ref_mOTU_v25_03943"
"ref_mOTU_v25_03944"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium lablabi/ottawaense"	"ref_mOTU_v25_03944"
"ref_mOTU_v25_03945"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Afipia"	"Afipia sp. GAS231"	"ref_mOTU_v25_03945"
"ref_mOTU_v25_03946"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"Bradyrhizobium sp. URHA0002"	"ref_mOTU_v25_03946"
"ref_mOTU_v25_03947"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Idiomarinaceae gen. incertae sedis"	"Idiomarinaceae bacterium HL-53"	"ref_mOTU_v25_03947"
"ref_mOTU_v25_03948"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium kansasii"	"ref_mOTU_v25_03948"
"ref_mOTU_v25_03949"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium gastri"	"ref_mOTU_v25_03949"
"ref_mOTU_v25_03950"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium kansasii"	"ref_mOTU_v25_03950"
"ref_mOTU_v25_03951"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium kansasii"	"ref_mOTU_v25_03951"
"ref_mOTU_v25_03952"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium kansasii"	"ref_mOTU_v25_03952"
"ref_mOTU_v25_03953"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium kansasii"	"ref_mOTU_v25_03953"
"ref_mOTU_v25_03954"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella scatoligenes [Olsenella scatoligenes/Olsenella sp. kh2p3]"	"ref_mOTU_v25_03954"
"ref_mOTU_v25_03955"	"Bacteria"	"Bacteria phylum incertae sedis"	"Bacteria class incertae sedis"	"Bacteria order incertae sedis"	"Bacteria fam. incertae sedis"	"Bacteria gen. incertae sedis"	"bacterium OL-1"	"ref_mOTU_v25_03955"
"ref_mOTU_v25_03956"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella sp. KH3B4"	"ref_mOTU_v25_03956"
"ref_mOTU_v25_03957"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	"Methanobrevibacter arboriphilus"	"ref_mOTU_v25_03957"
"ref_mOTU_v25_03958"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Brevibacillus"	"Brevibacillus borstelensis"	"ref_mOTU_v25_03958"
"ref_mOTU_v25_03959"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Dokdonia"	"Dokdonia donghaensis [Dokdonia sp. MED134/Dokdonia donghaensis]"	"ref_mOTU_v25_03959"
"ref_mOTU_v25_03960"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter dokdonensis"	"ref_mOTU_v25_03960"
"ref_mOTU_v25_03961"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter sp. MED152"	"ref_mOTU_v25_03961"
"ref_mOTU_v25_03962"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Sulfitobacter"	"Sulfitobacter donghicola"	"ref_mOTU_v25_03962"
"ref_mOTU_v25_03963"	"Archaea"	"Euryarchaeota"	"Methanococci"	"Methanococcales"	"Methanocaldococcaceae"	"Methanocaldococcus"	"Methanocaldococcus bathoardescens"	"ref_mOTU_v25_03963"
"ref_mOTU_v25_03964"	"Archaea"	"Euryarchaeota"	"Methanococci"	"Methanococcales"	"Methanocaldococcaceae"	"Methanocaldococcus"	"Methanocaldococcus sp. FS406-22"	"ref_mOTU_v25_03964"
"ref_mOTU_v25_03965"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sinensis [Streptococcus sinensis/Streptococcus sp. DD04]"	"ref_mOTU_v25_03965"
"ref_mOTU_v25_03966"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus cristatus"	"ref_mOTU_v25_03966"
"ref_mOTU_v25_03967"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus cristatus"	"ref_mOTU_v25_03967"
"ref_mOTU_v25_03968"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus cristatus"	"ref_mOTU_v25_03968"
"ref_mOTU_v25_03969"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus gordonii [Streptococcus gordonii/Streptococcus sp. oral taxon 056]"	"ref_mOTU_v25_03969"
"ref_mOTU_v25_03970"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus gordonii/cristatus [Streptococcus gordonii/Streptococcus sp. CCH8-G7/Streptococcus cristatus/Streptococcus sp. 2_1_36FAA]"	"ref_mOTU_v25_03970"
"ref_mOTU_v25_03971"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caloranaerobacter"	"Caloranaerobacter sp. TR13"	"ref_mOTU_v25_03971"
"ref_mOTU_v25_03972"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Caloranaerobacter"	"Caloranaerobacter ferrireducens"	"ref_mOTU_v25_03972"
"ref_mOTU_v25_03973"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Gracilibacillus"	"Gracilibacillus sp. [Gracilibacillus sp. JCM 18966/Gracilibacillus sp. JCM 18860]"	"ref_mOTU_v25_03973"
"ref_mOTU_v25_03974"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus kimchicus"	"ref_mOTU_v25_03974"
"ref_mOTU_v25_03975"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus namurensis"	"ref_mOTU_v25_03975"
"ref_mOTU_v25_03976"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"	"Cellulomonas sp. URHD0024"	"ref_mOTU_v25_03976"
"ref_mOTU_v25_03977"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"	"Cellulomonas sp. URHE0023"	"ref_mOTU_v25_03977"
"ref_mOTU_v25_03978"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium takakiae"	"ref_mOTU_v25_03978"
"ref_mOTU_v25_03979"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium hispalense"	"ref_mOTU_v25_03979"
"ref_mOTU_v25_03980"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium taichungense"	"ref_mOTU_v25_03980"
"ref_mOTU_v25_03981"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium taeanense"	"ref_mOTU_v25_03981"
"ref_mOTU_v25_03982"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium gambrini"	"ref_mOTU_v25_03982"
"ref_mOTU_v25_03983"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium limigenitum"	"ref_mOTU_v25_03983"
"ref_mOTU_v25_03984"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium glaciei"	"ref_mOTU_v25_03984"
"ref_mOTU_v25_03985"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium polytrichastri"	"ref_mOTU_v25_03985"
"ref_mOTU_v25_03986"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. ERMR1:04"	"ref_mOTU_v25_03986"
"ref_mOTU_v25_03987"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"Mucilaginibacter polytrichastri"	"ref_mOTU_v25_03987"
"ref_mOTU_v25_03988"	"Bacteria"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Cnuella"	"Cnuella takakiae"	"ref_mOTU_v25_03988"
"ref_mOTU_v25_03989"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonadaceae gen. [Sphingomonas/Sphingobium]"	"Sphingomonadaceae sp. [Sphingobium sp. DC-2/Sphingomonas paucimobilis/Sphingobium quisquiliarum]"	"ref_mOTU_v25_03989"
"ref_mOTU_v25_03990"	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	"Chthonomonadaceae"	"Chthonomonas"	"Chthonomonas calidirosea"	"ref_mOTU_v25_03990"
"ref_mOTU_v25_03991"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"Nocardioides sp. [Nocardioides sp. Soil796/Nocardioides sp. Root140/Nocardioides sp. Root151]"	"ref_mOTU_v25_03991"
"ref_mOTU_v25_03992"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"Nocardioides jensenii"	"ref_mOTU_v25_03992"
"ref_mOTU_v25_03993"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium chubuense/chlorophenolicum"	"ref_mOTU_v25_03993"
"ref_mOTU_v25_03994"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium sp. Soil538"	"ref_mOTU_v25_03994"
"ref_mOTU_v25_03995"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium rufum"	"ref_mOTU_v25_03995"
"ref_mOTU_v25_03996"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	"Pasteurella multocida"	"ref_mOTU_v25_03996"
"ref_mOTU_v25_03997"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	"Pasteurella dagmatis"	"ref_mOTU_v25_03997"
"ref_mOTU_v25_03998"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	"Pasteurella multocida"	"ref_mOTU_v25_03998"
"ref_mOTU_v25_03999"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Caldicoprobacteraceae"	"Caldicoprobacter"	"Caldicoprobacter oshimai/faecalis"	"ref_mOTU_v25_03999"
"ref_mOTU_v25_04000"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	"Geobacter bemidjiensis/bremensis"	"ref_mOTU_v25_04000"
"ref_mOTU_v25_04001"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geobacter"	"Geobacter sp. M21"	"ref_mOTU_v25_04001"
"ref_mOTU_v25_04002"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	"Porphyromonas crevioricanis"	"ref_mOTU_v25_04002"
"ref_mOTU_v25_04003"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Marinobacter"	"Marinobacter excellens"	"ref_mOTU_v25_04003"
"ref_mOTU_v25_04004"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces sp. CNS606"	"ref_mOTU_v25_04004"
"ref_mOTU_v25_04005"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomycetaceae gen. incertae sedis"	"Streptomycetaceae bacterium MP113-05"	"ref_mOTU_v25_04005"
"ref_mOTU_v25_04006"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus bovienii"	"ref_mOTU_v25_04006"
"ref_mOTU_v25_04007"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus szentirmaii"	"ref_mOTU_v25_04007"
"ref_mOTU_v25_04008"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus mauleonii"	"ref_mOTU_v25_04008"
"ref_mOTU_v25_04009"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus nematophila"	"ref_mOTU_v25_04009"
"ref_mOTU_v25_04010"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus koppenhoeferi"	"ref_mOTU_v25_04010"
"ref_mOTU_v25_04011"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus beddingii"	"ref_mOTU_v25_04011"
"ref_mOTU_v25_04012"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus khoisanae"	"ref_mOTU_v25_04012"
"ref_mOTU_v25_04013"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus vietnamensis"	"ref_mOTU_v25_04013"
"ref_mOTU_v25_04014"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"Xenorhabdus japonica"	"ref_mOTU_v25_04014"
