"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_05163"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. Leaf151"	"ref_mOTU_v25_05163"
"ref_mOTU_v25_05164"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium testaceum"	"ref_mOTU_v25_05164"
"ref_mOTU_v25_05165"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium testaceum"	"ref_mOTU_v25_05165"
"ref_mOTU_v25_05166"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium testaceum"	"ref_mOTU_v25_05166"
"ref_mOTU_v25_05167"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium testaceum [Microbacterium sp. Leaf203/Microbacterium testaceum]"	"ref_mOTU_v25_05167"
"ref_mOTU_v25_05168"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium enclense"	"ref_mOTU_v25_05168"
"ref_mOTU_v25_05169"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. [Microbacterium sp. ru370.1/Microbacterium sp. RU1D]"	"ref_mOTU_v25_05169"
"ref_mOTU_v25_05170"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium ginsengisoli [Microbacterium sp. SCN 71-21/Microbacterium sp. Leaf347/Microbacterium sp. Leaf351/Microbacterium sp. 71-23/Microbacterium ginsengisoli]"	"ref_mOTU_v25_05170"
"ref_mOTU_v25_05171"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes class [Sphingobacteriia/Chitinophagia]"	"Bacteroidetes order [Chitinophagales/Sphingobacteriales]"	"Chitinophagaceae"	"Niastella"	"Niastella sp. [Niastella sp. SCN 39-18/Sphingobacteriales bacterium 39-19]"	"ref_mOTU_v25_05171"
"ref_mOTU_v25_05172"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"Novosphingobium sp. [Novosphingobium sp. SCN 63-17/Novosphingobium sp. 63-713]"	"ref_mOTU_v25_05172"
